episode_name|episode_link
In Marge We Trust|https://nohomers.net/forums/index.php?threads/rate-and-review-in-marge-we-trust.15764/
Homer's Enemy|https://nohomers.net/forums/index.php?threads/r-r-homers-enemy.19320/
The Simpsons Spinoff Showcase|https://nohomers.net/forums/index.php?threads/rate-and-review-simpsons-spinoff-showcase.18631/
The Secret War of Lisa Simpson|https://nohomers.net/forums/index.php?threads/the-secret-war-of-lisa-simpson.19584/
The City of New York vs. Homer Simpson|https://nohomers.net/forums/index.php?threads/r-r-the-city-of-new-york-vs-homer-simpson.20274/
The Principal and the Pauper|https://nohomers.net/forums/index.php?threads/rate-and-review-the-principal-and-the-pauper.18413/
Lisa's Sax|https://nohomers.net/forums/index.php?threads/r-r-lisas-sax.18528/
Treehouse of Horror VIII|https://nohomers.net/forums/index.php?threads/r-r-treehouse-of-horror-viii.14585/
The Cartridge Family|https://nohomers.net/forums/index.php?threads/rate-and-review-the-cartridge-family.19542/
Bart Star|https://nohomers.net/forums/index.php?threads/rate-and-review-bart-star.18395/
The Two Mrs. Nahasapeemapetilons|https://nohomers.net/forums/index.php?threads/r-r-the-two-mrs-nahasapeemapetilons.23503/
Lisa the Skeptic|https://nohomers.net/forums/index.php?threads/rate-and-review-lisa-the-skeptic.18549/
Realty Bites|https://nohomers.net/forums/index.php?threads/r-r-realty-bites.21193/
All Singing, All Dancing|https://nohomers.net/forums/index.php?threads/all-singing-all-dancing.18585/
Miracle on Evergreen Terrace|https://nohomers.net/forums/index.php?threads/r-r-miracle-on-evergreen-terrace.19981/
Bart Carny|https://nohomers.net/forums/index.php?threads/r-r-bart-carny.18853/
The Joy of Sect|https://nohomers.net/forums/index.php?threads/rate-review-the-joy-of-sect.22454/
Das Bus|https://nohomers.net/forums/index.php?threads/rate-review-das-bus.22803/
The Last Temptation of Krust|https://nohomers.net/forums/index.php?threads/r-r-the-last-temptation-of-krust.14840/
Dumbbell Indemnity|https://nohomers.net/forums/index.php?threads/r-r-dumbbell-indemnity.18718/
Lisa the Simpson|https://nohomers.net/forums/index.php?threads/r-r-lisa-the-simpson.19654/
