episode_name|episode_link|episode_season
Last Exit to Springfield|https://simpsonswiki.com/wiki/Last_Exit_to_Springfield|4
So It's Come to This: A Simpsons Clip Show|https://simpsonswiki.com/wiki/So_It%27s_Come_to_This:_A_Simpsons_Clip_Show|4
The Front|https://simpsonswiki.com/wiki/The_Front|4
Whacking Day|https://simpsonswiki.com/wiki/Whacking_Day|4
Marge in Chains|https://simpsonswiki.com/wiki/Marge_in_Chains|4
Krusty Gets Kancelled|https://simpsonswiki.com/wiki/Krusty_Gets_Kancelled|4
Homer's Barbershop Quartet|https://simpsonswiki.com/wiki/Homer%27s_Barbershop_Quartet|5
Cape Feare|https://simpsonswiki.com/wiki/Cape_Feare|5
Homer Goes to College|https://simpsonswiki.com/wiki/Homer_Goes_to_College|5
Rosebud|https://simpsonswiki.com/wiki/Rosebud|5
Treehouse of Horror IV|https://simpsonswiki.com/wiki/Treehouse_of_Horror_IV|5
Marge on the Lam|https://simpsonswiki.com/wiki/Marge_on_the_Lam|5
Bart's Inner Child|https://simpsonswiki.com/wiki/Bart%27s_Inner_Child|5
Boy-Scoutz 'n the Hood|https://simpsonswiki.com/wiki/Boy-Scoutz_%27n_the_Hood|5
The Last Temptation of Homer|https://simpsonswiki.com/wiki/The_Last_Temptation_of_Homer|5
$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)|https://simpsonswiki.com/wiki/$pringfield_(Or,_How_I_Learned_to_Stop_Worrying_and_Love_Legalized_Gambling)|5
Homer the Vigilante|https://simpsonswiki.com/wiki/Homer_the_Vigilante|5
Bart Gets Famous|https://simpsonswiki.com/wiki/Bart_Gets_Famous|5
Homer and Apu|https://simpsonswiki.com/wiki/Homer_and_Apu|5
Lisa vs. Malibu Stacy|https://simpsonswiki.com/wiki/Lisa_vs._Malibu_Stacy|5
Deep Space Homer|https://simpsonswiki.com/wiki/Deep_Space_Homer|5
Homer Loves Flanders|https://simpsonswiki.com/wiki/Homer_Loves_Flanders|5
Bart Gets an Elephant|https://simpsonswiki.com/wiki/Bart_Gets_an_Elephant|5
Burns' Heir|https://simpsonswiki.com/wiki/Burns%27_Heir|5
Sweet Seymour Skinner's Baadasssss Song|https://simpsonswiki.com/wiki/Sweet_Seymour_Skinner%27s_Baadasssss_Song|5
The Boy Who Knew Too Much|https://simpsonswiki.com/wiki/The_Boy_Who_Knew_Too_Much|5
Lady Bouvier's Lover|https://simpsonswiki.com/wiki/Lady_Bouvier%27s_Lover|5
Secrets of a Successful Marriage|https://simpsonswiki.com/wiki/Secrets_of_a_Successful_Marriage|5
Bart of Darkness|https://simpsonswiki.com/wiki/Bart_of_Darkness|6
Lisa's Rival|https://simpsonswiki.com/wiki/Lisa%27s_Rival|6
Another Simpsons Clip Show|https://simpsonswiki.com/wiki/Another_Simpsons_Clip_Show|6
Itchy & Scratchy Land|https://simpsonswiki.com/wiki/Itchy_%26_Scratchy_Land|6
Sideshow Bob Roberts|https://simpsonswiki.com/wiki/Sideshow_Bob_Roberts|6
Treehouse of Horror V|https://simpsonswiki.com/wiki/Treehouse_of_Horror_V|6
Bart's Girlfriend|https://simpsonswiki.com/wiki/Bart%27s_Girlfriend|6
Lisa on Ice|https://simpsonswiki.com/wiki/Lisa_on_Ice|6
